method T <M**2> <M>**2 X <E**2> <E>**2 C
 glauber 1.3000000000000003 1.0 1.0 0.0 30.18 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 1.0 0.0 110.18 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 0.9603999999999999 0.0030461538461538516 190.18 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 1.0 0.0 269.1 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 1.0 0.0 348.86 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 1.0 0.0 428.7 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 0.9603999999999999 0.0030461538461538516 506.54 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 1.0 0.0 585.62 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 1.0 0.0 665.14 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 1.0 0.0 745.14 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 1.0 0.0 824.9 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 1.0 0.0 903.98 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 0.8464 0.01181538461538461 981.86 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 1.0 0.0 1058.94 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 0.9216 0.006030769230769231 1136.98 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 1.0 0.0 1216.3 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 1.0 0.0 1295.26 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 1.0 0.0 1374.94 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 1.0 0.0 1454.5 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 1.0 0.0 1532.7 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 1.0 0.0 1611.94 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 1.0 0.0 1691.94 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 1.0 0.0 1771.78 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 1.0 0.0 1851.22 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 1.0 0.0 1931.06 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 1.0 0.0 2010.1 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 1.0 0.0 2088.14 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 1.0 0.0 2166.7 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 1.0 0.0 2246.38 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 1.0 0.0 2325.82 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 0.9603999999999999 0.0030461538461538516 2405.18 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 0.9216 0.006030769230769231 2483.94 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 1.0 0.0 2561.38 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 1.0 0.0 2641.02 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 1.0 0.0 2721.02 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 1.0 0.0 2800.22 E2 C(E1, E2)
